tool_name,parameters,original_description
AdCopy AI - Google Ads AI Text Generation,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""API Key Validation"",
        ""method"": ""GET"",
        ""category"": ""Advertising""
    }
}","This endpoint is used only to validate API Keys, it simply returns a status of 200 and a message of 'OK'. 
The use of this endpoint is Free, and is useful for server-to-server FREE API validation."
AdCopy AI - Google Ads AI Text Generation,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""20+ Ad Descriptions Generator"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}","Get relevant & Complint Google Ad headlines for SEM and PPC marketers, created by SEM Experts. Results include 10+ ad headlines, and are based on user inputs as well as A.I. Intelligence based on OpenAI's engine. 

**Detailed description:**
The Headlines generator endpoint uses advanced prompt engineering to analyze user inputs in the form of URL, subject, and important keywords to create high-quality ad headlines that are tailored to the product or service being advertised. By leveraging the advanced capabilities of OpenAI's ChatGPT engine, the endpoint is able to deliver top-of-the-line ad headlines that are optimized for relevance, clarity, and engagement.

**Detailed Technical Documentation:**
The Headlines generator endpoint of AdCopy AI can be accessed through a GET request, with the following query parameters:

**subject:** Required. A string of between 10 and 60 characters, which represents the ""value proposition"" of the product or service being advertised. The user is advised to provide keywords in a comma-delimited format.

**url:** Required. A string that represents the URL of a page that describes the product or service being advertised. The API will fetch the content from the page and extract relevant keywords to help generate quality ads.

**mostImportantKeywords:** Optional. A string of up to 100 characters, representing the most important keywords about the ad group being advertised. The presence of these keywords in the resulting content is not guaranteed.

**language:** Optional. A string that represents the target audience's language in ISO-2 format (e.g. EN, IT, ES, etc.). The field is currently in alpha testing and may not provide results in the requested language.

**country:** Optional. A string that represents the target audience's country in ISO-2 format (e.g. US, CA, IT, etc.). The field is currently in alpha testing and may not provide country-specific content.

**exampleHeadlines:** Optional. A string of at most 200 characters, representing example headlines that the user may provide to fine-tune the results.

The endpoint will return up to 10 ad headlines that are tailored to the product or service being advertised. The headlines will be optimized for relevance, clarity, and engagement, leveraging the advanced capabilities of OpenAI's ChatGPT engine and Significat Prompt Optimization."
AdCopy AI - Google Ads AI Text Generation,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""20+ Ad Headlines Generator"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}","Get relevant & Complint Google Ad headlines for SEM and PPC marketers, created by SEM Experts. Results include 10+ ad headlines, and are based on user inputs as well as A.I. Intelligence based on OpenAI's engine. 

**Detailed description:**
The Headlines generator endpoint uses advanced prompt engineering to analyze user inputs in the form of URL, subject, and important keywords to create high-quality ad headlines that are tailored to the product or service being advertised. By leveraging the advanced capabilities of OpenAI's ChatGPT engine, the endpoint is able to deliver top-of-the-line ad headlines that are optimized for relevance, clarity, and engagement.

**Detailed Technical Documentation:**
The Headlines generator endpoint of AdCopy AI can be accessed through a GET request, with the following query parameters:

**subject:** Required. A string of between 10 and 60 characters, which represents the ""value proposition"" of the product or service being advertised. The user is advised to provide keywords in a comma-delimited format.

**url:** Required. A string that represents the URL of a page that describes the product or service being advertised. The API will fetch the content from the page and extract relevant keywords to help generate quality ads.

**mostImportantKeywords:** Optional. A string of up to 100 characters, representing the most important keywords about the ad group being advertised. The presence of these keywords in the resulting content is not guaranteed.

**language:** Optional. A string that represents the target audience's language in ISO-2 format (e.g. EN, IT, ES, etc.). The field is currently in alpha testing and may not provide results in the requested language.

**country:** Optional. A string that represents the target audience's country in ISO-2 format (e.g. US, CA, IT, etc.). The field is currently in alpha testing and may not provide country-specific content.

**exampleHeadlines:** Optional. A string of at most 200 characters, representing example headlines that the user may provide to fine-tune the results.

The endpoint will return up to 10 ad headlines that are tailored to the product or service being advertised. The headlines will be optimized for relevance, clarity, and engagement, leveraging the advanced capabilities of OpenAI's ChatGPT engine and Significat Prompt Optimization."
anadolu,"{
    ""parameters"": {
        ""userId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""(Required) User's Instagram handle or user ID from Instagram"",
            ""default"": ""nostrud proident qui eu Lorem""
        }
    },
    ""metadata"": {
        ""endpoint"": ""generateReportPdf"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}", 
anadolu,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""searchInfluencers"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",Get a list of influencers that match your filters.
anadolu,"{
    ""parameters"": {},
    ""metadata"": {
        ""endpoint"": ""audienceOverlapReports"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}",Check audience (followers) overlap for several influencers. </br> <strong>This feature is not enabled by default.</strong> [Contact us](mailto:hello@modash.io) to unlock it.
as,"{
    ""parameters"": {
        ""customerId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The id of the customer object of your account""
        },
        ""productId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The id of the product this order is for""
        }
    },
    ""metadata"": {
        ""endpoint"": ""/customers/{customerId}/orders/{productId}/numbers/port"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}","<p>Allows you to port a quantity of your phone numbers into the specified product.</p><p>Use this to port one/more of your phone numbers into the specified product.</p><p>Make a new request if you wish to vary the elements of the order, and use the requestId field to correlate multiple orders together.</p>"
as,"{
    ""parameters"": {
        ""customerId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The id of the customer object of your account""
        },
        ""productId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The id of the product this order is for""
        }
    },
    ""metadata"": {
        ""endpoint"": ""/customers/{customerId}/orders/{productId}/numbers/change"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}","<p>Allows you to order to modify the numbers listed, only numbers within the country given.</p><p>Use this to change one/more phone numbers of the specified product.</p><p>Make a new request if you wish to vary the elements of the order, and use the requestId field to correlate multiple orders together.</p>"
as,"{
    ""parameters"": {
        ""customerId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The id of the customer object of your account""
        },
        ""productId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The id of the product this order is for""
        }
    },
    ""metadata"": {
        ""endpoint"": ""/customers/{customerId}/orders/{productId}/numbers/move"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}","<p>Allows you to order to move the numbers listed to a different location within the same country.</p><p>Use this to move one/more phone numbers of the specified product.</p><p>Make a new request if you wish to vary the elements of the order, and use the requestId field to correlate multiple orders together.</p>"
as,"{
    ""parameters"": {
        ""productId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The id of the product this order is for""
        },
        ""customerId"": {
            ""type"": ""string"",
            ""required"": true,
            ""description"": ""The id of the customer object of your account""
        }
    },
    ""metadata"": {
        ""endpoint"": ""/customers/{customerId}/orders/{productId}/numbers/delete"",
        ""method"": ""POST"",
        ""category"": ""Advertising""
    }
}","<p>Allows you to order toremove the numbers listed from the customer inventory, only numbers within the country given.</p><p>Make a new request if you wish to vary the elements of the order, and use the requestId field to correlate multiple orders together.</p>"
